"f" "voor" "ref" "hyp"
"2092" "07072022_result.TextGrid" 82 "lasti" "lasti"
"2093" "07072022_result.TextGrid" 83 "läbi" "läbi"
"2094" "07072022_result.TextGrid" 83 "feimi" "####"
"2095" "07072022_result.TextGrid" 83 "said" "femisid"
"2096" "07072022_result.TextGrid" 83 "feimi" "fay"
"2097" "07072022_result.TextGrid" 84 "aga" "aga"
"2098" "07072022_result.TextGrid" 84 "kes" "kes"
"2099" "07072022_result.TextGrid" 85 "nagu" "nagu"
"2100" "07072022_result.TextGrid" 85 "enne" "enne"
"2101" "07072022_result.TextGrid" 85 "bämmi" "bämmi"
"2102" "07072022_result.TextGrid" 85 "kuidas" "kuidas"
"2103" "07072022_result.TextGrid" 85 "sulle" "sulle"
"2104" "07072022_result.TextGrid" 85 "tundub" "tundub"
"2105" "07072022_result.TextGrid" 85 "mis" "mis"
"2106" "07072022_result.TextGrid" 85 "eestis" "eestis"
"2107" "07072022_result.TextGrid" 85 "siis" "siis"
"2108" "07072022_result.TextGrid" 85 "nagu" "nagu"
"2109" "07072022_result.TextGrid" 85 "dra" "####"
"2110" "07072022_result.TextGrid" 85 "kas" "kas"
"2111" "07072022_result.TextGrid" 85 "oli" "oli"
"2112" "07072022_result.TextGrid" 85 "mingi" "mingi"
"2113" "07072022_result.TextGrid" 85 "dragkultuur" "rakultuur"
"2114" "07072022_result.TextGrid" 85 "et" "et"
"2115" "07072022_result.TextGrid" 85 "okei" "okei"
"2116" "07072022_result.TextGrid" 85 "seal" "seal"
"2117" "07072022_result.TextGrid" 85 "oli" "oli"
"2118" "07072022_result.TextGrid" 85 "angelis" "angelis"
"2119" "07072022_result.TextGrid" 85 "oli" "oli"
"2120" "07072022_result.TextGrid" 85 "see" "see"
"2121" "07072022_result.TextGrid" 85 "vetsuhaldjas" "vetsuhaldjas"
"2122" "07072022_result.TextGrid" 85 "aga" "####"
"2123" "07072022_result.TextGrid" 86 "aga" "aga"
"2124" "07072022_result.TextGrid" 86 "kas" "kas"
"2125" "07072022_result.TextGrid" 86 "oli" "oli"
"2126" "07072022_result.TextGrid" 86 "ka" "ka"
"2127" "07072022_result.TextGrid" 86 "mingeid" "mingeid"
"2128" "07072022_result.TextGrid" 86 "nagu" "####"
"2129" "07072022_result.TextGrid" 86 "shout" "####"
"2130" "07072022_result.TextGrid" 86 "out" "####"
"2131" "07072022_result.TextGrid" 86 "muid" "muid"
"2132" "07072022_result.TextGrid" 86 "mingeid" "mingeid"
"2133" "07072022_result.TextGrid" 86 "esinejaid" "esinejaid"
"2134" "07072022_result.TextGrid" 86 "mingid" "mingid"
"2135" "07072022_result.TextGrid" 86 "showsid" "ow"
"2136" "07072022_result.TextGrid" 86 "peale" "peale"
"2137" "07072022_result.TextGrid" 86 "vanade" "vanade"
"2138" "07072022_result.TextGrid" 86 "ja" "ja"
"2139" "07072022_result.TextGrid" 86 "kobedate" "kobedate"
"2140" "07072022_result.TextGrid" 87 "niiet" "####"
"2141" "07072022_result.TextGrid" 87 "teie" "teie"
"2142" "07072022_result.TextGrid" 87 "tõite" "tõite"
"2143" "07072022_result.TextGrid" 87 "selle" "selle"
"2144" "07072022_result.TextGrid" 87 "teema" "teema"
"2145" "07072022_result.TextGrid" 87 "jah" "####"
"2146" "07072022_result.TextGrid" 87 "eesti" "eesti"
"2147" "07072022_result.TextGrid" 87 "teadvusesse" "teadvusesse"
"2148" "07072022_result.TextGrid" 87 "jah" "jah"
"2149" "07072022_result.TextGrid" 87 "põhimõtteliselt" "põhimõtteliselt"
"2150" "07072022_result.TextGrid" 87 "küll" "####"
"2151" "07072022_result.TextGrid" 88 "aga" "aga"
"2152" "07072022_result.TextGrid" 88 "aga" "aga"
"2153" "07072022_result.TextGrid" 88 "kuidas" "kuidas"
"2154" "07072022_result.TextGrid" 88 "nagu" "nagu"
"2155" "07072022_result.TextGrid" 88 "bämmil" "bämmil"
"2156" "07072022_result.TextGrid" 88 "kuidas" "kuidas"
"2157" "07072022_result.TextGrid" 88 "see" "see"
"2158" "07072022_result.TextGrid" 88 "edasi" "edasi"
"2159" "07072022_result.TextGrid" 88 "arenes" "arenes"
"2160" "07072022_result.TextGrid" 88 "kuidas" "kuidas"
"2161" "07072022_result.TextGrid" 88 "te" "te"
"2162" "07072022_result.TextGrid" 88 "olete" "olete"
"2163" "07072022_result.TextGrid" 88 "jõudnud" "jõudnud"
"2164" "07072022_result.TextGrid" 88 "siiani" "siiani"
"2165" "07072022_result.TextGrid" 88 "kuhu" "kuhu"
"2166" "07072022_result.TextGrid" 88 "te" "te"
"2167" "07072022_result.TextGrid" 88 "olete" "olete"
"2168" "07072022_result.TextGrid" 88 "jõudnud" "jõudnud"
"2169" "07072022_result.TextGrid" 89 "ma" "ma"
"2170" "07072022_result.TextGrid" 89 "võin" "võin"
"2171" "07072022_result.TextGrid" 89 "võtta" "võtta"
"2172" "07072022_result.TextGrid" 89 "üles" "üles"
"2173" "07072022_result.TextGrid" 89 "ühe" "ühe"
"2174" "07072022_result.TextGrid" 89 "asja" "asja"
"2175" "07072022_result.TextGrid" 89 "mis" "mis"
"2176" "07072022_result.TextGrid" 89 "enne" "enne"
"2177" "07072022_result.TextGrid" 89 "saate" "saate"
"2178" "07072022_result.TextGrid" 89 "või" "või"
"2179" "07072022_result.TextGrid" 89 "selle" "selle"
"2180" "07072022_result.TextGrid" 89 "laulu" "laulu"
"2181" "07072022_result.TextGrid" 89 "pealeminemist" "pealeminemist"
"2182" "07072022_result.TextGrid" 89 "jäi" "jäi"
"2183" "07072022_result.TextGrid" 89 "mulle" "mulle"
"2184" "07072022_result.TextGrid" 89 "kõrvu" "kõrvu"
"2185" "07072022_result.TextGrid" 89 "et" "et"
"2186" "07072022_result.TextGrid" 89 "death" "teh"
"2187" "07072022_result.TextGrid" 89 "drop" "trop"
"2188" "07072022_result.TextGrid" 89 "ei" "ei"
"2189" "07072022_result.TextGrid" 89 "eksisteeri" "eksisteeri"
"2190" "07072022_result.TextGrid" 89 "mis" "mis"
"2191" "07072022_result.TextGrid" 89 "on" "on"
"2192" "07072022_result.TextGrid" 89 "selle" "selle"
"2193" "07072022_result.TextGrid" 89 "asemel" "asemel"
"2194" "07072022_result.TextGrid" 89 "sa" "sa"
"2195" "07072022_result.TextGrid" 89 "ütlesid" "ütlesid"
"2196" "07072022_result.TextGrid" 89 "et" "et"
"2197" "07072022_result.TextGrid" 89 "see" "####"
"2198" "07072022_result.TextGrid" 89 "termin" "####"
"2199" "07072022_result.TextGrid" 89 "see" "####"
"2200" "07072022_result.TextGrid" 89 "on" "####"
"2201" "07072022_result.TextGrid" 89 "see" "####"
"2202" "07072022_result.TextGrid" 89 "on" "####"
"2203" "07072022_result.TextGrid" 89 "mingi" "####"
"2204" "07072022_result.TextGrid" 89 "ma" "####"
"2205" "07072022_result.TextGrid" 89 "ei" "####"
"2206" "07072022_result.TextGrid" 89 "tea" "####"
"2207" "07072022_result.TextGrid" 89 "kust" "####"
"2208" "07072022_result.TextGrid" 89 "see" "####"
"2209" "07072022_result.TextGrid" 89 "üldse" "####"
"2210" "07072022_result.TextGrid" 89 "tuli" "####"
"2211" "07072022_result.TextGrid" 89 "mhmh" "####"
"2212" "07072022_result.TextGrid" 90 "aitäh" "aitäh"
"2213" "07072022_result.TextGrid" 90 "et" "et"
"2214" "07072022_result.TextGrid" 90 "harid" "harid"
"2215" "07072022_result.TextGrid" 90 "meid" "meid"
"2216" "07072022_result.TextGrid" 90 "ja" "ja"
"2217" "07072022_result.TextGrid" 90 "kuulajaid" "kuulajaid"
"2218" "07072022_result.TextGrid" 90 "aga" "####"
"2219" "07072022_result.TextGrid" 90 "palun" "####"
"2220" "07072022_result.TextGrid" 90 "ja" "####"
"2221" "07072022_result.TextGrid" 90 "mind" "####"
"2222" "07072022_result.TextGrid" 91 "lavale" "lavale"
"2223" "07072022_result.TextGrid" 91 "selle" "selle"
"2224" "07072022_result.TextGrid" 92 "osa" "####"
"2225" "07072022_result.TextGrid" 92 "see" "####"
"2226" "07072022_result.TextGrid" 92 "oli" "aga"
"2227" "07072022_result.TextGrid" 92 "nii" "nii"
"2228" "07072022_result.TextGrid" 92 "naljakas" "naljakas"
"2229" "07072022_result.TextGrid" 92 "ja" "####"
"2230" "07072022_result.TextGrid" 92 "ma" "ma"
"2231" "07072022_result.TextGrid" 92 "olin" "####"
"2232" "07072022_result.TextGrid" 92 "mingi" "mingi"
"2233" "07072022_result.TextGrid" 92 "that" "####"
"2234" "07072022_result.TextGrid" 92 "was" "tarkus"
"2235" "07072022_result.TextGrid" 92 "not" "not"
"2236" "07072022_result.TextGrid" 92 "fucking" "####"
"2237" "07072022_result.TextGrid" 92 "funny" "pak"
"2238" "07072022_result.TextGrid" 92 "ei" "ing"
"2239" "07072022_result.TextGrid" 92 "aga" "pani"
"2240" "07072022_result.TextGrid" 93 "see" "####"
"2241" "07072022_result.TextGrid" 93 "just" "####"
"2242" "07072022_result.TextGrid" 93 "see" "####"
"2243" "07072022_result.TextGrid" 93 "olin" "####"
"2244" "07072022_result.TextGrid" 93 "mina" "####"
"2245" "07072022_result.TextGrid" 93 "nii" "kas"
"2246" "07072022_result.TextGrid" 94 "forever" "ver"
"2247" "07072022_result.TextGrid" 94 "bänn" "bänn"
"2248" "07072022_result.TextGrid" 94 "ei" "####"
"2249" "07072022_result.TextGrid" 94 "mind" "####"
"2250" "07072022_result.TextGrid" 94 "ei" "####"
"2251" "07072022_result.TextGrid" 94 "olnud" "####"
"2252" "07072022_result.TextGrid" 94 "tegelikult" "####"
"2253" "07072022_result.TextGrid" 94 "eestis" "####"
"2254" "07072022_result.TextGrid" 94 "see" "####"
"2255" "07072022_result.TextGrid" 94 "aasta" "####"
"2256" "07072022_result.TextGrid" 95 "ei" "ei"
"2257" "07072022_result.TextGrid" 95 "seal" "seal"
"2258" "07072022_result.TextGrid" 95 "minu" "####"
"2259" "07072022_result.TextGrid" 95 "arust" "minuarust"
"2260" "07072022_result.TextGrid" 95 "mingi" "mingi"
"2261" "07072022_result.TextGrid" 95 "ma" "ma"
"2262" "07072022_result.TextGrid" 95 "isegi" "isegi"
"2263" "07072022_result.TextGrid" 95 "kuul" "kuu"
"2264" "07072022_result.TextGrid" 95 "seal" "seal"
"2265" "07072022_result.TextGrid" 95 "mingi" "mingi"
"2266" "07072022_result.TextGrid" 95 "teema" "teema"
"2267" "07072022_result.TextGrid" 95 "oli" "oli"
"2268" "07072022_result.TextGrid" 95 "et" "et"
"2269" "07072022_result.TextGrid" 95 "see" "see"
"2270" "07072022_result.TextGrid" 95 "kellelt" "kellelt"
"2271" "07072022_result.TextGrid" 95 "telliti" "telliti"
"2272" "07072022_result.TextGrid" 95 "see" "see"
"2273" "07072022_result.TextGrid" 95 "tehnika" "tehnika"
"2274" "07072022_result.TextGrid" 95 "seal" "seal"
"2275" "07072022_result.TextGrid" 95 "lihtsalt" "lihtsalt"
"2276" "07072022_result.TextGrid" 95 "mingi" "mingi"
"2277" "07072022_result.TextGrid" 95 "pooled" "pooled"
"2278" "07072022_result.TextGrid" 95 "asjad" "asjad"
"2279" "07072022_result.TextGrid" 95 "veeti" "veeti"
"2280" "07072022_result.TextGrid" 95 "ära" "ära"
"2281" "07072022_result.TextGrid" 95 "umbes" "umbes"
"2282" "07072022_result.TextGrid" 95 "pärast" "pärast"
"2283" "07072022_result.TextGrid" 95 "kontserti" "kontserti"
"2284" "07072022_result.TextGrid" 95 "ja" "ja"
"2285" "07072022_result.TextGrid" 95 "siis" "siis"
"2286" "07072022_result.TextGrid" 95 "nad" "nad"
"2287" "07072022_result.TextGrid" 95 "ei" "ei"
"2288" "07072022_result.TextGrid" 95 "saanud" "saanud"
"2289" "07072022_result.TextGrid" 95 "neid" "need"
"2290" "07072022_result.TextGrid" 95 "kätte" "kätte"
"2291" "07072022_result.TextGrid" 95 "õigus" "####"
"2292" "07072022_result.TextGrid" 95 "jaa" "####"
"2293" "07072022_result.TextGrid" 95 "ja" "ja"
"2294" "07072022_result.TextGrid" 95 "siis" "siis"
"2295" "07072022_result.TextGrid" 95 "nad" "nad"
"2296" "07072022_result.TextGrid" 95 "mingi" "####"
"2297" "07072022_result.TextGrid" 95 "sõitsid" "sõitsid"
"2298" "07072022_result.TextGrid" 95 "mööda" "mööda"
"2299" "07072022_result.TextGrid" 95 "linna" "linna"
"2300" "07072022_result.TextGrid" 95 "ringi" "ringi"
"2301" "07072022_result.TextGrid" 95 "ja" "####"
"2302" "07072022_result.TextGrid" 95 "ür" "####"
"2303" "07072022_result.TextGrid" 95 "otsisid" "otsisid"
"2304" "07072022_result.TextGrid" 95 "seda" "seda"
"2305" "07072022_result.TextGrid" 95 "tehnikat" "tehnikat"
"2306" "07072022_result.TextGrid" 95 "ja" "ja"
"2307" "07072022_result.TextGrid" 95 "ma" "ma"
"2308" "07072022_result.TextGrid" 95 "ei" "ei"
"2309" "07072022_result.TextGrid" 95 "tea" "tea"
"2310" "07072022_result.TextGrid" 95 "min" "min"
"2311" "07072022_result.TextGrid" 95 "mingi" "####"
"2312" "07072022_result.TextGrid" 95 "tehnika" "####"
"2313" "07072022_result.TextGrid" 95 "ja" "####"
"2314" "07072022_result.TextGrid" 95 "ma" "####"
"2315" "07072022_result.TextGrid" 95 "ei" "####"
"2316" "07072022_result.TextGrid" 95 "tea" "####"
"2317" "07072022_result.TextGrid" 95 "mingi" "####"
"2318" "07072022_result.TextGrid" 95 "no" "####"
"2319" "07072022_result.TextGrid" 95 "mingi" "mingi"
"2320" "07072022_result.TextGrid" 95 "tehnika" "tehnika"
"2321" "07072022_result.TextGrid" 95 "jama" "oma"
"2322" "07072022_result.TextGrid" 95 "jah" "jah"
"2323" "07072022_result.TextGrid" 95 "noh" "####"
"2324" "07072022_result.TextGrid" 95 "ja" "####"
"2325" "07072022_result.TextGrid" 95 "no" "####"
"2326" "07072022_result.TextGrid" 96 "õpin" "õpin"
"2327" "07072022_result.TextGrid" 96 "nii" "nii"
"2328" "07072022_result.TextGrid" 96 "palju" "palju"
"2329" "07072022_result.TextGrid" 96 "täna" "####"
"2330" "07072022_result.TextGrid" 96 "siin" "tänases"
"2331" "07072022_result.TextGrid" 96 "saates" "saates"
"2332" "07072022_result.TextGrid" 96 "we" "####"
"2333" "07072022_result.TextGrid" 96 "have" "####"
"2334" "07072022_result.TextGrid" 96 "an" "või"
"2335" "07072022_result.TextGrid" 96 "educational" "hävene"
"2336" "07072022_result.TextGrid" 96 "show" "jokas"
"2337" "07072022_result.TextGrid" 96 "today" "toda"
"2338" "07072022_result.TextGrid" 96 "vanaemadest" "vanaemadest"
"2339" "07072022_result.TextGrid" 96 "cool" "####"
"2340" "07072022_result.TextGrid" 97 "minul" "minul"
"2341" "07072022_result.TextGrid" 97 "on" "on"
"2342" "07072022_result.TextGrid" 97 "võibolla" "võibolla"
"2343" "07072022_result.TextGrid" 97 "küsimus" "küsimus"
"2344" "07072022_result.TextGrid" 97 "et" "et"
"2345" "07072022_result.TextGrid" 97 "m" "####"
"2346" "07072022_result.TextGrid" 97 "ma" "ma"
"2347" "07072022_result.TextGrid" 97 "hakkasin" "hakkasin"
"2348" "07072022_result.TextGrid" 97 "mõtlema" "mõtlema"
"2349" "07072022_result.TextGrid" 97 "eesti" "eesti"
"2350" "07072022_result.TextGrid" 97 "siis" "siis"
"2351" "07072022_result.TextGrid" 97 "drag" "####"
"2352" "07072022_result.TextGrid" 97 "kultuuri" "trää"
"2353" "07072022_result.TextGrid" 97 "drag" "kultuuritraks"
"2354" "07072022_result.TextGrid" 97 "skeene" "keene"
"2355" "07072022_result.TextGrid" 97 "peale" "peale"
"2356" "07072022_result.TextGrid" 97 "ja" "ja"
"2357" "07072022_result.TextGrid" 97 "ma" "ma"
"2358" "07072022_result.TextGrid" 97 "mõtlesin" "mõtlesin"
"2359" "07072022_result.TextGrid" 97 "et" "et"
"2360" "07072022_result.TextGrid" 97 "palju" "palju"
"2361" "07072022_result.TextGrid" 97 "üldse" "üldse"
"2362" "07072022_result.TextGrid" 97 "on" "on"
"2363" "07072022_result.TextGrid" 97 "meil" "meil"
"2364" "07072022_result.TextGrid" 97 "dragartiste" "träägartiste"
"2365" "07072022_result.TextGrid" 97 "eestis" "eestis"
"2366" "07072022_result.TextGrid" 97 "et" "et"
"2367" "07072022_result.TextGrid" 97 "kas" "kas"
"2368" "07072022_result.TextGrid" 97 "neid" "neid"
"2369" "07072022_result.TextGrid" 97 "jõuab" "jõuab"
"2370" "07072022_result.TextGrid" 97 "üles" "üles"
"2371" "07072022_result.TextGrid" 97 "lugeda" "lugeda"
"2372" "07072022_result.TextGrid" 97 "kahe" "kahe"
"2373" "07072022_result.TextGrid" 97 "käe" "####"
"2374" "07072022_result.TextGrid" 97 "sõrmel" "####"
"2375" "07072022_result.TextGrid" 97 "kolme" "####"
"2376" "07072022_result.TextGrid" 97 "käe" "käe"
"2377" "07072022_result.TextGrid" 97 "sõrmedel" "####"
"2378" "07072022_result.TextGrid" 97 "i" "####"
"2379" "07072022_result.TextGrid" 97 "got" "####"
"2380" "07072022_result.TextGrid" 97 "you" "####"
"2381" "07072022_result.TextGrid" 97 "i" "####"
"2382" "07072022_result.TextGrid" 97 "got" "####"
"2383" "07072022_result.TextGrid" 97 "you" "####"
"2384" "07072022_result.TextGrid" 97 "kas" "####"
"2385" "07072022_result.TextGrid" 97 "teed" "####"
"2386" "07072022_result.TextGrid" 97 "kohe" "####"
"2387" "07072022_result.TextGrid" 97 "teed" "####"
"2388" "07072022_result.TextGrid" 97 "kohe" "####"
"2389" "07072022_result.TextGrid" 97 "grupi" "####"
"2390" "07072022_result.TextGrid" 97 "lahti" "####"
"2391" "07072022_result.TextGrid" 97 "jah" "####"
"2392" "07072022_result.TextGrid" 97 "faili" "####"
"2393" "07072022_result.TextGrid" 97 "i" "sõrme"
"2394" "07072022_result.TextGrid" 97 "know" "all"
"2395" "07072022_result.TextGrid" 97 "i" "kolme"
"2396" "07072022_result.TextGrid" 97 "know" "käesõrmede"
"2397" "07072022_result.TextGrid" 97 "neid" "al"
"2398" "07072022_result.TextGrid" 98 "no" "no"
"2399" "07072022_result.TextGrid" 98 "sihukesed" "sellised"
"2400" "07072022_result.TextGrid" 98 "kes" "kes"
"2401" "07072022_result.TextGrid" 98 "nagu" "nagu"
"2402" "07072022_result.TextGrid" 98 "esinevad" "esinevad"
"2403" "07072022_result.TextGrid" 98 "ka" "ka"
"2404" "07072022_result.TextGrid" 98 "kes" "kes"
"2405" "07072022_result.TextGrid" 98 "ei" "ei"
"2406" "07072022_result.TextGrid" 98 "ole" "ole"
"2407" "07072022_result.TextGrid" 98 "ainult" "####"
"2408" "07072022_result.TextGrid" 98 "nagu" "nagu"
"2409" "07072022_result.TextGrid" 98 "kodus" "kodus"
"2410" "07072022_result.TextGrid" 98 "need" "####"
"2411" "07072022_result.TextGrid" 98 "kodus" "kodus"
"2412" "07072022_result.TextGrid" 98 "kodus" "kodus"
"2413" "07072022_result.TextGrid" 98 "kapi" "kapi"
"2414" "07072022_result.TextGrid" 98 "dragid" "räägid"
"2415" "07072022_result.TextGrid" 98 "on" "on"
"2416" "07072022_result.TextGrid" 98 "ka" "ka"
"2417" "07072022_result.TextGrid" 98 "väga" "väga"
"2418" "07072022_result.TextGrid" 98 "tublid" "tublid"
"2419" "07072022_result.TextGrid" 98 "ja" "ja"
"2420" "07072022_result.TextGrid" 98 "kindlasti" "kindlasti"
"2421" "07072022_result.TextGrid" 98 "olulised" "olulised"
"2422" "07072022_result.TextGrid" 98 "küll" "####"
"2423" "07072022_result.TextGrid" 98 "nad" "####"
"2424" "07072022_result.TextGrid" 98 "jõuavad" "####"
"2425" "07072022_result.TextGrid" 98 "siia" "####"
"2426" "07072022_result.TextGrid" 98 "lavale" "####"
"2427" "07072022_result.TextGrid" 99 "just" "just"
"2428" "07072022_result.TextGrid" 99 "aga" "aga"
"2429" "07072022_result.TextGrid" 99 "ma" "ma"
"2430" "07072022_result.TextGrid" 99 "hakkasingi" "hakkasin"
"2431" "07072022_result.TextGrid" 99 "mõtlema" "mõtlema"
"2432" "07072022_result.TextGrid" 99 "et" "et"
"2433" "07072022_result.TextGrid" 99 "et" "et"
"2434" "07072022_result.TextGrid" 99 "kuidas" "kuidas"
"2435" "07072022_result.TextGrid" 99 "sulle" "sulle"
"2436" "07072022_result.TextGrid" 99 "tundub" "tundub"
"2437" "07072022_result.TextGrid" 99 "kas" "kas"
"2438" "07072022_result.TextGrid" 99 "on" "on"
"2439" "07072022_result.TextGrid" 99 "järelkasvu" "järelkasvu"
"2440" "07072022_result.TextGrid" 99 "tulemas" "tulemas"
"2441" "07072022_result.TextGrid" 99 "või" "või"
"2442" "07072022_result.TextGrid" 99 "või" "või"
"2443" "07072022_result.TextGrid" 99 "mis" "mis"
"2444" "07072022_result.TextGrid" 99 "mis" "mis"
"2445" "07072022_result.TextGrid" 99 "praegune" "praegune"
"2446" "07072022_result.TextGrid" 99 "seis" "seis"
"2447" "07072022_result.TextGrid" 99 "on" "on"
"2448" "07072022_result.TextGrid" 99 "eestis" "eestis"
"2449" "07072022_result.TextGrid" 99 "nagu" "nagu"
"2450" "07072022_result.TextGrid" 99 "dragartistidega" "trakartistidega"
"2451" "07072022_result.TextGrid" 99 "kas" "kas"
"2452" "07072022_result.TextGrid" 99 "on" "on"
"2453" "07072022_result.TextGrid" 99 "kedagi" "kedagi"
"2454" "07072022_result.TextGrid" 99 "kutsuda" "kutsuda"
"2455" "07072022_result.TextGrid" 99 "esinema" "esinema"
"2456" "07072022_result.TextGrid" 100 "aga" "aga"
"2457" "07072022_result.TextGrid" 100 "kes" "kes"
"2458" "07072022_result.TextGrid" 100 "kes" "kes"
"2459" "07072022_result.TextGrid" 100 "viis" "viis"
"2460" "07072022_result.TextGrid" 100 "aastat" "aastat"
"2461" "07072022_result.TextGrid" 100 "tagasi" "tagasi"
"2462" "07072022_result.TextGrid" 100 "näiteks" "näiteks"
"2463" "07072022_result.TextGrid" 100 "esines" "esines"
"2464" "07072022_result.TextGrid" 100 "siis" "siis"
"2465" "07072022_result.TextGrid" 101 "ehk" "ehk"
"2466" "07072022_result.TextGrid" 101 "siis" "siis"
"2467" "07072022_result.TextGrid" 101 "teie" "####"
"2468" "07072022_result.TextGrid" 101 "teie" "teie"
"2469" "07072022_result.TextGrid" 101 "kaks" "kaks"
"2470" "07072022_result.TextGrid" 101 "ja" "ja"
"2471" "07072022_result.TextGrid" 101 "kolmas" "####"
"2472" "07072022_result.TextGrid" 101 "no" "####"
"2473" "07072022_result.TextGrid" 101 "t" "####"
"2474" "07072022_result.TextGrid" 102 "oota" "oota"
"2475" "07072022_result.TextGrid" 102 "nii" "nii"
"2476" "07072022_result.TextGrid" 102 "et" "et"
"2477" "07072022_result.TextGrid" 102 "helgi" "helki"
"2478" "07072022_result.TextGrid" 102 "kas" "kas"
"2479" "07072022_result.TextGrid" 102 "kuidas" "kuidas"
"2480" "07072022_result.TextGrid" 102 "millal" "millal"
"2481" "07072022_result.TextGrid" 102 "sina" "sina"
"2482" "07072022_result.TextGrid" 102 "minul" "####"
"2483" "07072022_result.TextGrid" 102 "millal" "millal"
"2484" "07072022_result.TextGrid" 102 "sinu" "sinu"
"2485" "07072022_result.TextGrid" 102 "drag" "trak"
"2486" "07072022_result.TextGrid" 102 "teekond" "teekond"
"2487" "07072022_result.TextGrid" 102 "alguse" "alguse"
"2488" "07072022_result.TextGrid" 102 "sai" "sai"
"2489" "07072022_result.TextGrid" 102 "üldse" "üldse"
"2490" "07072022_result.TextGrid" 102 "me" "####"
"2491" "07072022_result.TextGrid" 102 "ei" "####"
"2492" "07072022_result.TextGrid" 102 "ole" "####"
"2493" "07072022_result.TextGrid" 102 "ju" "####"
"2494" "07072022_result.TextGrid" 102 "kas" "####"
"2495" "07072022_result.TextGrid" 102 "ma" "####"
"2496" "07072022_result.TextGrid" 102 "ei" "####"
"2497" "07072022_result.TextGrid" 102 "tea" "####"
"2498" "07072022_result.TextGrid" 102 "kas" "####"
"2499" "07072022_result.TextGrid" 102 "me" "####"
"2500" "07072022_result.TextGrid" 102 "oleme" "####"
"2501" "07072022_result.TextGrid" 102 "sellest" "####"
"2502" "07072022_result.TextGrid" 102 "rääkinud" "####"
"2503" "07072022_result.TextGrid" 103 "lugeja" "lugeja"
"2504" "07072022_result.TextGrid" 103 "küsimus" "küsimus"
"2505" "07072022_result.TextGrid" 103 "oli" "oli"
"2506" "07072022_result.TextGrid" 104 "et" "et"
"2507" "07072022_result.TextGrid" 104 "ei" "####"
"2508" "07072022_result.TextGrid" 104 "olnud" "####"
"2509" "07072022_result.TextGrid" 104 "lugeja" "####"
"2510" "07072022_result.TextGrid" 104 "meil" "####"
"2511" "07072022_result.TextGrid" 104 "türa" "####"
"2512" "07072022_result.TextGrid" 104 "see" "####"
"2513" "07072022_result.TextGrid" 104 "oli" "####"
"2514" "07072022_result.TextGrid" 104 "kuulaja" "####"
"2515" "07072022_result.TextGrid" 104 "küsimus" "####"
"2516" "07072022_result.TextGrid" 104 "kuulaja" "####"
"2517" "07072022_result.TextGrid" 105 "no" "no"
"2518" "07072022_result.TextGrid" 105 "ta" "ta"
"2519" "07072022_result.TextGrid" 105 "ta" "ta"
"2520" "07072022_result.TextGrid" 105 "on" "on"
"2521" "07072022_result.TextGrid" 105 "heterokringli" "hetero"
"2522" "07072022_result.TextGrid" 105 "lugeja" "gringli"
"2523" "07072022_result.TextGrid" 105 "ja" "lugeja"
"2524" "07072022_result.TextGrid" 105 "homokringli" "homokringli"
"2525" "07072022_result.TextGrid" 105 "kuulaja" "kuulaja"
"2526" "07072022_result.TextGrid" 105 "okei" "####"
"2527" "07072022_result.TextGrid" 105 "ja" "ja"
"2528" "07072022_result.TextGrid" 105 "ma" "####"
"2529" "07072022_result.TextGrid" 105 "ei" "####"
"2530" "07072022_result.TextGrid" 105 "tea" "####"
"2531" "07072022_result.TextGrid" 105 "väga" "####"
"2532" "07072022_result.TextGrid" 105 "tõsine" "tõsine"
"2533" "07072022_result.TextGrid" 105 "lugemine" "lugemine"
"2534" "07072022_result.TextGrid" 105 "just" "just"
"2535" "07072022_result.TextGrid" 105 "get" "####"
"2536" "07072022_result.TextGrid" 105 "a" "####"
"2537" "07072022_result.TextGrid" 105 "get" "####"
"2538" "07072022_result.TextGrid" 105 "a" "####"
"2539" "07072022_result.TextGrid" 105 "life" "####"
"2540" "07072022_result.TextGrid" 106 "jah" "jah"
"2541" "07072022_result.TextGrid" 106 "miša" "####"
"2542" "07072022_result.TextGrid" 107 "küsimus" "küsimus"
"2543" "07072022_result.TextGrid" 107 "on" "on"
"2544" "07072022_result.TextGrid" 107 "et" "et"
"2545" "07072022_result.TextGrid" 107 "kui" "kui"
"2546" "07072022_result.TextGrid" 107 "meil" "####"
"2547" "07072022_result.TextGrid" 107 "tuleks" "meil"
"2548" "07072022_result.TextGrid" 107 "drag" "tuleks"
"2549" "07072022_result.TextGrid" 107 "race" "tra"
"2550" "07072022_result.TextGrid" 107 "estonia" "estonia"
"2551" "07072022_result.TextGrid" 107 "siis" "siis"
"2552" "07072022_result.TextGrid" 107 "kes" "kes"
"2553" "07072022_result.TextGrid" 107 "####" "oleksid"
"2554" "07072022_result.TextGrid" 107 "oleksid" "kes"
"2555" "07072022_result.TextGrid" 107 "kes" "ja"
"2556" "07072022_result.TextGrid" 107 "judgeid" "id"
"2557" "07072022_result.TextGrid" 107 "mitte" "te"
"2558" "07072022_result.TextGrid" 107 "kes" "kes"
"2559" "07072022_result.TextGrid" 107 "judgeid" "ja"
"2560" "07072022_result.TextGrid" 107 "####" "kes"
"2561" "07072022_result.TextGrid" 107 "kes" "oleks"
"2562" "07072022_result.TextGrid" 107 "oleks" "ja"
